SubjectID,ErrorQuotient,ErrorQuotient_FE,ExceptionTestRunRatio,FailedTestRunRatio,FunctionCoverage,RED,RED_FE,SessionCount,SessionSpan,TestPassRate
alimente.cadriez,0.066116,0.090909,0.0,0.0,5.0,0.0,0.045455,1.0,0.3419,1.0
apercevra.conter,0.746753,0.785714,0.0,0.866667,7.0,0.492857,0.666071,3.0,34.9206,0.92126
atroce.adjugerez,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0926,1.0
avereront.vouees,0.142857,0.142857,0.0,0.5,12.0,0.071429,0.071429,3.0,30.4312,0.978495
avertis.cormoran,0.066116,0.090909,0.0,0.0,1.0,0.0,0.045455,1.0,0.0,1.0
avouait.happes,0.0,0.0,0.0,0.166667,9.0,0.0,0.0,3.0,23.3003,0.991935
becquee.aerait,0.466667,0.466667,0.0,0.533333,14.0,0.408333,0.408333,4.0,37.444,0.98303
borderais.calmait,0.393939,0.416667,0.0,0.538462,7.0,0.194444,0.308333,3.0,38.9599,0.964981
cokefier.survolait,0.0,0.0,0.0,0.142857,15.0,0.0,0.0,5.0,37.0708,0.993311
cougouars.balayes,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,31.9696,1.0
crantes.mutes,0.2,0.2,0.333333,0.083333,9.0,0.133333,0.133333,3.0,36.5412,0.960699
debacler.decores,0.4,0.4,0.0,0.75,5.0,0.266667,0.266667,2.0,10.3663,0.840909
decalques.avenu,0.554545,0.6,0.0,0.733333,18.0,0.37803,0.54127,2.0,44.0261,0.971734
decernera.promesse,0.25,0.25,0.0,0.4,12.0,0.125,0.125,3.0,29.3061,0.987952
deprime.grondions,0.0,0.0,0.0,0.5,15.0,0.0,0.0,1.0,0.4923,0.988764
deraser.mouilliez,0.488636,0.53125,0.0,0.606061,15.0,0.286458,0.478646,4.0,44.1271,0.971927
dotait.huilerons,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,19.3029,1.0
egalisiez.pendrons,0.0,0.0,0.0,0.2,4.0,0.0,0.0,2.0,21.005,0.965517
estompes.renomme,0.066116,0.090909,1.0,1.0,5.0,0.0,0.045455,2.0,10.1988,0.8
forestier.redonnes,0.0,0.0,0.0,0.25,10.0,0.0,0.0,3.0,29.4434,0.992857
fouinez.superflu,0.066116,0.090909,0.0,0.444444,13.0,0.0,0.045455,4.0,39.7751,0.983819
gueules.bouderons,0.5,0.5,0.0,0.714286,7.0,0.401042,0.401042,2.0,31.8638,0.960954
haschich.ecoeurait,0.0,0.0,0.111111,0.222222,5.0,0.0,0.0,4.0,34.1712,0.96
importons.boulaie,0.0,0.0,1.0,1.0,10.0,0.0,0.0,4.0,28.2991,0.8
irriteras.taquinant,0.125,0.125,0.0,0.333333,9.0,0.083333,0.083333,2.0,37.6228,0.977186
lamineurs.etatisees,0.3,0.3,0.0,0.6,13.0,0.225,0.225,3.0,33.0514,0.965649
matraque.ramier,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,32.3068,1.0
neuviemes.doperiez,0.145455,0.2,0.0,0.6,12.0,0.0,0.1,3.0,38.0827,0.961326
offrirait.rendors,0.380165,0.454545,0.0,0.785714,9.0,0.090909,0.336364,1.0,18.7944,0.774194
penombres.intermede,0.066116,0.090909,1.0,1.0,5.0,0.0,0.045455,1.0,0.0,0.8
pervenche.saturera,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.8901,0.0
plastique.ratatines,0.357143,0.357143,0.0,0.777778,14.0,0.297619,0.297619,3.0,30.8909,0.947802
postuler.petrifie,0.0,0.0,0.0,0.285714,9.0,0.0,0.0,4.0,24.7532,0.986842
rayonnage.atterrait,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.2842,1.0
reclus.ridee,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,32.2438,0.9718305
reformais.glissais,0.0,0.0,0.0,0.111111,9.0,0.0,0.0,5.0,41.6237,0.981203
roulant.vrilla,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,21.4905,0.9718305
sachent.gares,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.6471,1.0
sommes.leveras,0.0,0.0,0.0,0.285714,10.0,0.0,0.0,4.0,40.5309,0.986047
sondez.diligence,0.186364,0.2,0.0,0.4,9.0,0.075,0.116667,3.0,31.042,0.974026
sulfatees.frisa,0.301435,0.315789,0.0,0.666667,12.0,0.171053,0.236842,3.0,34.6287,0.962472
targuions.detaille,0.066116,0.090909,1.0,1.0,5.0,0.0,0.045455,1.0,0.0,0.8
tisses.indolent,0.294118,0.294118,0.0,0.533333,14.0,0.217647,0.217647,4.0,34.344,0.969524
tonifiais.tour,0.586777,0.636364,0.0,0.833333,13.0,0.257576,0.469697,4.0,39.1666,0.948515
tribunes.carrosse,0.066116,0.090909,1.0,1.0,5.0,0.0,0.045455,1.0,0.0,0.8
triplais.allonge,0.066116,0.090909,1.0,1.0,5.0,0.0,0.045455,2.0,13.7305,0.8
vaches.recopiera,0.333333,0.333333,0.25,0.5,6.0,0.166667,0.166667,2.0,15.987,0.919355
verrues.clamais,0.0,0.0,0.0,0.2,12.0,0.0,0.0,3.0,25.5759,0.99292
