Cluster,variable,centre_standardise,sens
Cluster 1,CompileSuccessRate,1.1065563938894734,au-dessus de la moyenne
Cluster 1,MeanTestScore,1.0795011935610266,au-dessus de la moyenne
Cluster 1,ErrorQuotient,-0.9537344418296164,en dessous de la moyenne
Cluster 1,RED,-0.8879551189106578,en dessous de la moyenne
Cluster 1,FracLong,0.637868070270919,au-dessus de la moyenne
Cluster 1,MinutesToScore1,-0.4718176611760009,en dessous de la moyenne
Cluster 1,CompileCount,-0.36076251661747655,en dessous de la moyenne
Cluster 1,SessionCount,0.11264984121725999,au-dessus de la moyenne
Cluster 1,MinutesFromGlobalFirstCompile,-0.07812525440074239,en dessous de la moyenne
Cluster 1,CompileSpanMinutes,0.048651838366367696,au-dessus de la moyenne
Cluster 1,MinutesToGlobalLastCompile,-0.008949779709189991,en dessous de la moyenne
Cluster 2,CompileCount,1.2552943328709318,au-dessus de la moyenne
Cluster 2,CompileSpanMinutes,1.095107746787627,au-dessus de la moyenne
Cluster 2,MinutesToGlobalLastCompile,-0.8857894811727302,en dessous de la moyenne
Cluster 2,SessionCount,0.7506348207495155,au-dessus de la moyenne
Cluster 2,MinutesToScore1,-0.26578495075279795,en dessous de la moyenne
Cluster 2,MinutesFromGlobalFirstCompile,-0.2564722466721161,en dessous de la moyenne
Cluster 2,CompileSuccessRate,0.07629585188443459,au-dessus de la moyenne
Cluster 2,FracLong,-0.07516968967679988,en dessous de la moyenne
Cluster 2,RED,0.07245918086185166,au-dessus de la moyenne
Cluster 2,ErrorQuotient,0.03139642822333007,au-dessus de la moyenne
Cluster 2,MeanTestScore,0.022678643449204186,au-dessus de la moyenne
Cluster 3,MinutesToScore1,2.0224471384014833,au-dessus de la moyenne
Cluster 3,RED,1.7279312898025503,au-dessus de la moyenne
Cluster 3,ErrorQuotient,1.6627459913471627,au-dessus de la moyenne
Cluster 3,CompileSuccessRate,-1.3163813003374667,en dessous de la moyenne
Cluster 3,MeanTestScore,-1.2375899155033112,en dessous de la moyenne
Cluster 3,CompileSpanMinutes,-0.6553126922425454,en dessous de la moyenne
Cluster 3,MinutesFromGlobalFirstCompile,0.47577893382356384,au-dessus de la moyenne
Cluster 3,MinutesToGlobalLastCompile,0.41639385952855645,au-dessus de la moyenne
Cluster 3,CompileCount,-0.1832862570619143,en dessous de la moyenne
Cluster 3,FracLong,-0.13651459411213476,en dessous de la moyenne
Cluster 3,SessionCount,-0.1259237475073604,en dessous de la moyenne
Cluster 4,SessionCount,-0.6633292025210676,en dessous de la moyenne
Cluster 4,CompileSpanMinutes,-0.6220267914265689,en dessous de la moyenne
Cluster 4,CompileCount,-0.6012503053009591,en dessous de la moyenne
Cluster 4,MinutesToGlobalLastCompile,0.5310816829269543,au-dessus de la moyenne
Cluster 4,FracLong,-0.47570237571794544,en dessous de la moyenne
Cluster 4,CompileSuccessRate,-0.4559820018309254,en dessous de la moyenne
Cluster 4,MeanTestScore,-0.42544105697691353,en dessous de la moyenne
Cluster 4,MinutesToScore1,-0.343724206712482,en dessous de la moyenne
Cluster 4,RED,-0.08018710614717797,en dessous de la moyenne
Cluster 4,ErrorQuotient,0.048772670780307094,au-dessus de la moyenne
Cluster 4,MinutesFromGlobalFirstCompile,0.04791912827341816,au-dessus de la moyenne
