SubjectID,Cluster
abord.mesestime,2
abregeait.rangeais,3
accord.vident,3
agiront.varloper,3
agraire.orienteur,3
agregeait.oxydants,3
alimente.cadriez,3
amnistie.douteuse,1
annexez.closant,1
apercevra.conter,1
apprecies.emmental,2
appret.terrais,1
asperge.goutait,2
assumait.reverdies,2
atroce.adjugerez,1
auspices.heurtoir,3
autonomes.puisera,2
avereront.vouees,1
avertis.cormoran,1
avorteras.statuais,1
avouait.happes,1
bafouer.fuie,3
batit.instants,2
bavaient.unissais,3
beats.supplicia,1
becquee.aerait,3
blason.ameuterez,3
borderais.calmait,3
boudeuses.conforte,4
bourrus.instaurez,2
bowling.deferant,3
boxerez.reprenons,3
brasse.resignees,1
canape.patissiez,3
cartayer.desherbes,2
celestes.tireras,3
chauffez.pics,3
cireriez.miseras,1
ciselure.pamant,3
clowns.perdais,1
cokefier.survolait,1
comblerez.ecrier,3
confortee.mesquin,3
consultes.pacifiee,3
cougouars.balayes,1
coulerons.elisiez,3
coutions.informant,1
crantes.mutes,1
criquet.selles,2
cuivre.livrent,1
debacler.decores,1
deblayant.vouerez,2
debusquer.decimale,1
decalques.avenu,3
decaves.plevre,3
decernera.promesse,3
decevriez.poussees,3
decousu.bavant,1
deferlez.rallongea,2
dejeune.ficela,4
delogez.planeras,2
deprime.grondions,3
deraser.mouilliez,1
devierons.inviterai,2
dialectes.avancions,3
dilueront.compare,3
dopants.recrie,2
dotait.huilerons,3
echarpe.invoquez,1
eclairez.efforces,3
ecrieriez.indemnes,1
egalisiez.pendrons,1
egayant.taurins,2
egayer.variais,1
entaillee.beriberi,2
epargnent.torpille,3
erigerent.nubile,3
estompes.renomme,3
expediee.percluse,1
expliquer.reimprime,3
extension.ligue,1
fachent.fauchage,3
fanees.disserter,3
feminise.traiteurs,1
fissurer.brandiras,2
flaneras.irriguer,1
forestier.redonnes,1
formol.resumiez,3
fortins.date,3
fouinez.superflu,1
fragilise.fa,1
fraisures.culinaire,3
fureterai.etang,3
gangrene.impulsees,3
gourmande.insanite,1
gravitera.greffeur,2
gueules.bouderons,3
haschich.ecoeurait,1
havanes.figurez,1
hissaient.rejouez,1
hivernage.dateras,3
humiliee.percerez,2
identifie.gobent,3
importons.boulaie,1
incluras.remige,2
inclusif.filtrez,1
irreelles.niveles,3
irriteras.taquinant,1
journees.affairees,1
lacherai.pret,3
lamineurs.etatisees,1
leverent.lestant,1
lignite.surmonter,1
loriot.puzzle,3
louchait.vendanges,1
mamans.militeras,2
matraque.ramier,1
mediateur.lezardera,3
minorees.agacerez,2
miroitera.lamenter,3
monnaies.pressure,2
montais.essayeur,2
naissait.aerosols,1
native.colosses,3
neuviemes.doperiez,1
offrirait.rendors,3
oxygene.infirmes,1
pamerais.civilites,2
paniquees.emmenes,2
parcourue.linceuls,3
partagera.bombes,1
peignons.ficelee,1
pendage.declencha,1
penombres.intermede,3
penserais.lainage,4
pervenche.saturera,3
pillerez.infliges,3
pincons.marmites,3
plaisent.legues,2
plastique.ratatines,1
poetique.captiez,1
polisses.garnirais,1
postuler.petrifie,3
poules.etrennait,3
provenons.preoccupa,2
punirons.vivables,2
purifiera.tenonner,1
radotera.depecage,1
railleuse.debander,3
rayonnage.atterrait,1
reanime.toreadors,1
recercler.cablerait,1
reclus.ridee,1
recousons.faisais,3
recreerez.acharnait,2
recrivez.sabordees,3
reculs.levais,1
refondrez.purifies,3
reformais.glissais,1
reglerai.gravita,3
regreer.editee,3
relayes.ordinales,1
renais.suca,1
reprochee.verifiera,1
repugner.enviais,4
rigidites.refais,3
rock.huileriez,3
rodee.rebuta,3
roquets.limite,2
rotissez.pesee,2
roulant.vrilla,2
ruminerez.affaissez,1
sachent.gares,3
salauds.hachure,1
seconds.etagerais,1
si.serrerait,1
signala.agencais,2
sommes.leveras,1
sondez.diligence,1
soudee.diminuees,1
soudoyez.ruseriez,3
soulevons.brode,3
soupiez.assommes,2
soutenais.risquerai,3
sportif.oculiste,3
subdivise.mutila,1
sulfatees.frisa,1
targuions.detaille,1
telesiege.trepigner,3
terrorise.dupes,3
tisses.indolent,1
tonifiais.tour,1
totalise.torture,2
toupet.entendras,2
tourber.lancait,2
tramerai.ligoteras,3
travesti.mobilises,1
tribunes.carrosse,3
triplais.allonge,1
truffer.risquent,1
trumeau.amendiez,1
tuerions.endossiez,3
usuraires.reverant,1
vaches.recopiera,3
vallons.brulait,1
verrues.clamais,1
voisinais.retraces,3
volerais.reliquats,3
