variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ErrorQuotient,0.9660300789290006,0.2257423302021235,-0.1560851430367114,-0.028218666008054904,-0.05635695135430314,-0.018180844104022587,-0.006342743662744569,-0.06485659860660418,-0.06364085858328518,-0.011857529104600946
ErrorQuotient_FE,0.9574404872168247,0.24885275262642353,-0.15327638737376217,-0.014779102816701724,-0.05194584459287486,0.012663567537776602,0.0012084687580156655,-0.1203503092891237,-0.038137340726557084,0.012070338555806753
ExceptionTestRunRatio,-0.2982924496124083,0.6678977586321414,0.3821460051292754,0.47986244195624744,-0.27889044164887267,-0.030671104053310933,-0.1757476559439804,-0.017174203455394898,-0.002114340637572413,-6.700133431415324e-05
FailedTestRunRatio,0.3575461773470567,0.7874155610503515,0.4393667519646057,0.101450161643252,0.024445399220953686,0.09639514982589491,0.23860253817735755,0.0569481812359593,0.0038603761197018565,-0.00010708875814695751
FunctionCoverage,0.5474111075699363,-0.38696382096686077,0.17264195471459406,0.5226512485334311,0.5173413181625501,-0.018078031928817465,-0.03024892830676073,-0.004067516306166096,-0.002589627458999613,-3.091379048943362e-05
RED,0.9517362423362997,0.13793148668172747,-0.1514875265499896,-0.0514820787651788,-0.056897588078300726,-0.12660253471015206,-0.06631290725553889,0.2170870419989388,-0.007410306478835756,0.002472888393457824
RED_FE,0.9676280404254979,0.21184078405411935,-0.14378160219059477,-0.027341471048804647,-0.03805083119000657,0.0016532826515905426,-0.0321338827121642,-0.06400644266936893,0.1099500880592957,-0.00251318271330217
SessionCount,0.3427714074802523,-0.6053133214964063,0.662260469893529,-0.12395476325137227,-0.16106278185792475,-0.22499607790638673,0.06712114321587886,-0.04840802066060038,0.0036565682479345624,0.00013366401147836925
SessionSpan,0.611211873250398,-0.5733824427452936,0.44584671836525486,-0.16011989717463732,-0.11198184161899907,0.2634270706877566,-0.10529134863313679,0.03813743019857144,-0.006086913159594102,-4.160664612767838e-05
TestPassRate,0.15481836533934235,-0.6790607467472908,-0.3635245608454409,0.503689491590115,-0.3638405267237561,0.04343797537617362,0.12496822419514327,0.020872239616498266,0.0034152894409720147,-5.6663064925941864e-05
