SubjectID,RED
abord.mesestime,0.105426
abregeait.rangeais,0.3
accord.vident,0.292641
agiront.varloper,0.166812
agraire.orienteur,0.326078
agregeait.oxydants,0.128929
alimente.cadriez,0.14688
amnistie.douteuse,0.072742
annexez.closant,0.092227
apercevra.conter,0.114595
appret.terrais,0.094188
asperge.goutait,0.024775
assumait.reverdies,0.0
atroce.adjugerez,0.053052
auspices.heurtoir,0.066099
autonomes.puisera,0.090667
avereront.vouees,0.047002
avertis.cormoran,0.124419
avorteras.statuais,0.165844
avouait.happes,0.058571
bafouer.fuie,0.176342
batit.instants,0.111111
bavaient.unissais,0.215624
beats.supplicia,0.045775
becquee.aerait,0.215925
blason.ameuterez,0.16209
borderais.calmait,0.182638
boudeuses.conforte,0.81
bowling.deferant,0.186927
boxerez.reprenons,0.242857
brasse.resignees,0.14803
canape.patissiez,0.245791
cartayer.desherbes,0.045455
celestes.tireras,0.290909
chauffez.pics,0.143429
cireriez.miseras,0.088453
ciselure.pamant,0.149182
clowns.perdais,0.070543
cokefier.survolait,0.102006
comblerez.ecrier,0.155473
confortee.mesquin,0.260972
consultes.pacifiee,0.111236
cougouars.balayes,0.053476
coulerons.elisiez,0.183208
coutions.informant,0.073854
crantes.mutes,0.061224
criquet.selles,0.0
cuivre.livrent,0.110659
debacler.decores,0.05119
deblayant.vouerez,0.0
debusquer.decimale,0.180448
decalques.avenu,0.212725
decaves.plevre,0.184615
decernera.promesse,0.193621
decevriez.poussees,0.26492
decousu.bavant,0.124889
deferlez.rallongea,0.030556
dejeune.ficela,0.49269
delogez.planeras,0.05
deprime.grondions,0.295149
deraser.mouilliez,0.144168
devierons.inviterai,0.096708
dialectes.avancions,0.268467
dilueront.compare,0.158562
dopants.recrie,0.0
dotait.huilerons,0.398244
echarpe.invoquez,0.107147
eclairez.efforces,0.228085
ecrieriez.indemnes,0.111983
egalisiez.pendrons,0.109799
egayant.taurins,0.110714
egayer.variais,0.059322
entaillee.beriberi,0.0
epargnent.torpille,0.25
erigerent.nubile,0.137255
estompes.renomme,0.288692
expediee.percluse,0.033333
expliquer.reimprime,0.24107
extension.ligue,0.106197
fachent.fauchage,0.297461
fanees.disserter,0.270576
feminise.traiteurs,0.119618
fissurer.brandiras,0.0
flaneras.irriguer,0.093254
forestier.redonnes,0.144726
formol.resumiez,0.20847
fortins.date,0.207686
fouinez.superflu,0.066196
fragilise.fa,0.088889
fraisures.culinaire,0.177295
fureterai.etang,0.276303
gangrene.impulsees,0.273065
gourmande.insanite,0.024691
gravitera.greffeur,0.01087
gueules.bouderons,0.213337
haschich.ecoeurait,0.057683
havanes.figurez,0.037778
hissaient.rejouez,0.11399
hivernage.dateras,0.239773
humiliee.percerez,0.0
identifie.gobent,0.21429
importons.boulaie,0.014706
inclusif.filtrez,0.10818
irreelles.niveles,0.333452
irriteras.taquinant,0.139181
journees.affairees,0.05531
lacherai.pret,0.243092
lamineurs.etatisees,0.077828
leverent.lestant,0.102881
lignite.surmonter,0.034158
loriot.puzzle,0.191907
louchait.vendanges,0.074324
mamans.militeras,0.0
matraque.ramier,0.063656
mediateur.lezardera,0.129167
minorees.agacerez,0.0
miroitera.lamenter,0.304189
monnaies.pressure,0.0
montais.essayeur,0.0375
naissait.aerosols,0.173569
native.colosses,0.153415
neuviemes.doperiez,0.068397
offrirait.rendors,0.129121
oxygene.infirmes,0.134678
pamerais.civilites,0.0
paniquees.emmenes,0.050347
parcourue.linceuls,0.291663
partagera.bombes,0.07345
peignons.ficelee,0.138555
pendage.declencha,0.090972
penombres.intermede,0.330729
penserais.lainage,0.125
pervenche.saturera,0.112706
pillerez.infliges,0.089103
pincons.marmites,0.314778
plaisent.legues,0.021739
plastique.ratatines,0.09825
poetique.captiez,0.108567
polisses.garnirais,0.135417
postuler.petrifie,0.135014
poules.etrennait,0.339561
provenons.preoccupa,0.035714
punirons.vivables,0.0
purifiera.tenonner,0.016393
radotera.depecage,0.079137
railleuse.debander,0.232753
rayonnage.atterrait,0.059829
reanime.toreadors,0.074043
recercler.cablerait,0.069767
reclus.ridee,0.0394
recousons.faisais,0.159445
recreerez.acharnait,0.0
recrivez.sabordees,0.103441
reculs.levais,0.050685
refondrez.purifies,0.238782
reformais.glissais,0.085694
reglerai.gravita,0.27322
regreer.editee,0.169857
relayes.ordinales,0.197691
renais.suca,0.104958
reprochee.verifiera,0.079208
repugner.enviais,0.58899
rigidites.refais,0.183012
rock.huileriez,0.25
rodee.rebuta,0.2006
roquets.limite,0.151888
rotissez.pesee,0.0
roulant.vrilla,0.030303
ruminerez.affaissez,0.081068
sachent.gares,0.327057
salauds.hachure,0.084462
seconds.etagerais,0.104342
si.serrerait,0.038251
sommes.leveras,0.042115
sondez.diligence,0.079749
soudee.diminuees,0.028944
soudoyez.ruseriez,0.114409
soulevons.brode,0.118056
soupiez.assommes,0.05144
soutenais.risquerai,0.225325
sportif.oculiste,0.27594
subdivise.mutila,0.039668
sulfatees.frisa,0.126899
targuions.detaille,0.034137
telesiege.trepigner,0.265335
terrorise.dupes,0.23768
tisses.indolent,0.082431
tonifiais.tour,0.061111
totalise.torture,0.015625
toupet.entendras,0.0
tourber.lancait,0.070513
tramerai.ligoteras,0.263574
travesti.mobilises,0.103268
tribunes.carrosse,0.173837
triplais.allonge,0.078704
truffer.risquent,0.05875
trumeau.amendiez,0.139773
tuerions.endossiez,0.134507
usuraires.reverant,0.119189
vaches.recopiera,0.170455
vallons.brulait,0.057692
verrues.clamais,0.065784
voisinais.retraces,0.139085
volerais.reliquats,0.25
