SubjectID,RED_FE
abord.mesestime,0.117054
abregeait.rangeais,0.3
accord.vident,0.324387
agiront.varloper,0.21588
agraire.orienteur,0.326078
agregeait.oxydants,0.247919
alimente.cadriez,0.237617
amnistie.douteuse,0.230064
annexez.closant,0.201377
apercevra.conter,0.243607
appret.terrais,0.193715
asperge.goutait,0.04955
assumait.reverdies,0.047619
atroce.adjugerez,0.135446
auspices.heurtoir,0.344144
autonomes.puisera,0.11
avereront.vouees,0.061151
avertis.cormoran,0.17093
avorteras.statuais,0.259577
avouait.happes,0.143102
bafouer.fuie,0.228589
batit.instants,0.111111
bavaient.unissais,0.356621
beats.supplicia,0.111502
becquee.aerait,0.333814
blason.ameuterez,0.282786
borderais.calmait,0.286982
boudeuses.conforte,0.81
bowling.deferant,0.245781
boxerez.reprenons,0.267857
brasse.resignees,0.238185
canape.patissiez,0.260943
cartayer.desherbes,0.090909
celestes.tireras,0.290909
chauffez.pics,0.227873
cireriez.miseras,0.190863
ciselure.pamant,0.323208
clowns.perdais,0.121085
cokefier.survolait,0.252063
comblerez.ecrier,0.230478
confortee.mesquin,0.312609
consultes.pacifiee,0.286638
cougouars.balayes,0.099249
coulerons.elisiez,0.282919
coutions.informant,0.094919
crantes.mutes,0.139456
criquet.selles,0.0
cuivre.livrent,0.166821
debacler.decores,0.05119
deblayant.vouerez,0.0
debusquer.decimale,0.233814
decalques.avenu,0.331765
decaves.plevre,0.334218
decernera.promesse,0.25856
decevriez.poussees,0.368496
decousu.bavant,0.201556
deferlez.rallongea,0.066667
dejeune.ficela,0.49269
delogez.planeras,0.1
deprime.grondions,0.4363
deraser.mouilliez,0.260348
devierons.inviterai,0.125
dialectes.avancions,0.36562
dilueront.compare,0.359744
dopants.recrie,0.025
dotait.huilerons,0.514105
echarpe.invoquez,0.186931
eclairez.efforces,0.303669
ecrieriez.indemnes,0.204905
egalisiez.pendrons,0.219573
egayant.taurins,0.170139
egayer.variais,0.108757
entaillee.beriberi,0.0
epargnent.torpille,0.25
erigerent.nubile,0.213235
estompes.renomme,0.288692
expediee.percluse,0.061111
expliquer.reimprime,0.287319
extension.ligue,0.171795
fachent.fauchage,0.425349
fanees.disserter,0.286008
feminise.traiteurs,0.2174
fissurer.brandiras,0.1
flaneras.irriguer,0.109722
forestier.redonnes,0.184159
formol.resumiez,0.269254
fortins.date,0.27055
fouinez.superflu,0.118577
fragilise.fa,0.153595
fraisures.culinaire,0.364359
fureterai.etang,0.346782
gangrene.impulsees,0.381115
gourmande.insanite,0.066358
gravitera.greffeur,0.056159
gueules.bouderons,0.268528
haschich.ecoeurait,0.100826
havanes.figurez,0.037778
hissaient.rejouez,0.170958
hivernage.dateras,0.252273
humiliee.percerez,0.0
identifie.gobent,0.328209
importons.boulaie,0.095588
inclusif.filtrez,0.149771
irreelles.niveles,0.440038
irriteras.taquinant,0.20289
journees.affairees,0.096712
lacherai.pret,0.306472
lamineurs.etatisees,0.153557
leverent.lestant,0.125514
lignite.surmonter,0.050059
loriot.puzzle,0.265261
louchait.vendanges,0.140541
mamans.militeras,0.0
matraque.ramier,0.090538
mediateur.lezardera,0.316098
minorees.agacerez,0.266667
miroitera.lamenter,0.342959
monnaies.pressure,0.035714
montais.essayeur,0.045833
naissait.aerosols,0.202938
native.colosses,0.27837
neuviemes.doperiez,0.124374
offrirait.rendors,0.251868
oxygene.infirmes,0.183909
pamerais.civilites,0.0
paniquees.emmenes,0.15253
parcourue.linceuls,0.374835
partagera.bombes,0.103424
peignons.ficelee,0.200789
pendage.declencha,0.211948
penombres.intermede,0.393345
penserais.lainage,0.8
pervenche.saturera,0.2612
pillerez.infliges,0.332585
pincons.marmites,0.352387
plaisent.legues,0.021739
plastique.ratatines,0.213685
poetique.captiez,0.169543
polisses.garnirais,0.148148
postuler.petrifie,0.253651
poules.etrennait,0.379411
provenons.preoccupa,0.035714
punirons.vivables,0.0
purifiera.tenonner,0.043716
radotera.depecage,0.155156
railleuse.debander,0.305147
rayonnage.atterrait,0.081197
reanime.toreadors,0.09283
recercler.cablerait,0.143992
reclus.ridee,0.067195
recousons.faisais,0.269957
recreerez.acharnait,0.02381
recrivez.sabordees,0.293111
reculs.levais,0.135595
refondrez.purifies,0.349881
reformais.glissais,0.138566
reglerai.gravita,0.420305
regreer.editee,0.239918
relayes.ordinales,0.216799
renais.suca,0.160614
reprochee.verifiera,0.094059
repugner.enviais,0.625784
rigidites.refais,0.297024
rock.huileriez,0.25
rodee.rebuta,0.305172
roquets.limite,0.185824
rotissez.pesee,0.0
roulant.vrilla,0.047619
ruminerez.affaissez,0.148827
sachent.gares,0.396353
salauds.hachure,0.129485
seconds.etagerais,0.118736
si.serrerait,0.10173
sommes.leveras,0.090681
sondez.diligence,0.116667
soudee.diminuees,0.060592
soudoyez.ruseriez,0.349402
soulevons.brode,0.215278
soupiez.assommes,0.057613
soutenais.risquerai,0.26199
sportif.oculiste,0.410523
subdivise.mutila,0.086839
sulfatees.frisa,0.18368
targuions.detaille,0.072289
telesiege.trepigner,0.265335
terrorise.dupes,0.330142
tisses.indolent,0.148403
tonifiais.tour,0.138757
totalise.torture,0.1875
toupet.entendras,0.0
tourber.lancait,0.070513
tramerai.ligoteras,0.309668
travesti.mobilises,0.175163
tribunes.carrosse,0.199968
triplais.allonge,0.184954
truffer.risquent,0.152556
trumeau.amendiez,0.184988
tuerions.endossiez,0.313938
usuraires.reverant,0.206416
vaches.recopiera,0.223485
vallons.brulait,0.163462
verrues.clamais,0.118508
voisinais.retraces,0.267488
volerais.reliquats,0.25
