SubjectID,ErrorQuotient_FE
abord.mesestime,0.179704
abregeait.rangeais,0.4
accord.vident,0.380952
agiront.varloper,0.297233
agraire.orienteur,0.378329
agregeait.oxydants,0.313725
alimente.cadriez,0.306061
amnistie.douteuse,0.31016
annexez.closant,0.325057
apercevra.conter,0.332496
appret.terrais,0.267677
asperge.goutait,0.081081
assumait.reverdies,0.071429
atroce.adjugerez,0.207426
auspices.heurtoir,0.397906
autonomes.puisera,0.154545
avereront.vouees,0.109222
avertis.cormoran,0.272727
avorteras.statuais,0.310277
avouait.happes,0.244675
bafouer.fuie,0.292135
batit.instants,0.190476
bavaient.unissais,0.437358
beats.supplicia,0.165173
becquee.aerait,0.418182
blason.ameuterez,0.360339
borderais.calmait,0.368421
boudeuses.conforte,0.9
bowling.deferant,0.332386
boxerez.reprenons,0.342857
brasse.resignees,0.333333
canape.patissiez,0.333333
cartayer.desherbes,0.181818
celestes.tireras,0.363636
chauffez.pics,0.28
cireriez.miseras,0.256837
ciselure.pamant,0.396927
clowns.perdais,0.172093
cokefier.survolait,0.320944
comblerez.ecrier,0.348005
confortee.mesquin,0.375
consultes.pacifiee,0.377596
cougouars.balayes,0.142927
coulerons.elisiez,0.346782
coutions.informant,0.145657
crantes.mutes,0.214286
criquet.selles,0.0
cuivre.livrent,0.245335
debacler.decores,0.092208
deblayant.vouerez,0.0
debusquer.decimale,0.297797
decalques.avenu,0.439281
decaves.plevre,0.400361
decernera.promesse,0.342088
decevriez.poussees,0.425
decousu.bavant,0.269818
deferlez.rallongea,0.112121
dejeune.ficela,0.578947
delogez.planeras,0.2
deprime.grondions,0.551288
deraser.mouilliez,0.327853
devierons.inviterai,0.187991
dialectes.avancions,0.443939
dilueront.compare,0.458087
dopants.recrie,0.05
dotait.huilerons,0.593205
echarpe.invoquez,0.259785
eclairez.efforces,0.449091
ecrieriez.indemnes,0.277692
egalisiez.pendrons,0.311058
egayant.taurins,0.216667
egayer.variais,0.200308
entaillee.beriberi,0.0
epargnent.torpille,0.5
erigerent.nubile,0.323529
estompes.renomme,0.333333
expediee.percluse,0.1
expliquer.reimprime,0.364441
extension.ligue,0.230769
fachent.fauchage,0.526189
fanees.disserter,0.397306
feminise.traiteurs,0.34596
fissurer.brandiras,0.2
flaneras.irriguer,0.152525
forestier.redonnes,0.262418
formol.resumiez,0.351326
fortins.date,0.353928
fouinez.superflu,0.164467
fragilise.fa,0.215686
fraisures.culinaire,0.441558
fureterai.etang,0.428774
gangrene.impulsees,0.442288
gourmande.insanite,0.106061
gravitera.greffeur,0.105731
gueules.bouderons,0.350522
haschich.ecoeurait,0.155883
havanes.figurez,0.066667
hissaient.rejouez,0.235747
hivernage.dateras,0.354545
humiliee.percerez,0.0
identifie.gobent,0.397844
importons.boulaie,0.168449
inclusif.filtrez,0.211009
irreelles.niveles,0.505376
irriteras.taquinant,0.273596
journees.affairees,0.151706
lacherai.pret,0.483995
lamineurs.etatisees,0.224599
leverent.lestant,0.194164
lignite.surmonter,0.084484
loriot.puzzle,0.351291
louchait.vendanges,0.235872
mamans.militeras,0.0
matraque.ramier,0.171848
mediateur.lezardera,0.383044
minorees.agacerez,0.4
miroitera.lamenter,0.424891
monnaies.pressure,0.071429
montais.essayeur,0.078788
naissait.aerosols,0.267218
native.colosses,0.371088
neuviemes.doperiez,0.196087
offrirait.rendors,0.326599
oxygene.infirmes,0.260101
pamerais.civilites,0.0
paniquees.emmenes,0.226326
parcourue.linceuls,0.452431
partagera.bombes,0.159619
peignons.ficelee,0.264831
pendage.declencha,0.301515
penombres.intermede,0.466507
penserais.lainage,1.0
pervenche.saturera,0.3339
pillerez.infliges,0.384615
pincons.marmites,0.440743
plaisent.legues,0.043478
plastique.ratatines,0.293822
poetique.captiez,0.236511
polisses.garnirais,0.246212
postuler.petrifie,0.352941
poules.etrennait,0.462646
provenons.preoccupa,0.071429
punirons.vivables,0.0
purifiera.tenonner,0.065574
radotera.depecage,0.226292
railleuse.debander,0.417542
rayonnage.atterrait,0.146853
reanime.toreadors,0.131372
recercler.cablerait,0.206131
reclus.ridee,0.110688
recousons.faisais,0.373235
recreerez.acharnait,0.047619
recrivez.sabordees,0.394194
reculs.levais,0.183397
refondrez.purifies,0.441434
reformais.glissais,0.198311
reglerai.gravita,0.519331
regreer.editee,0.333097
relayes.ordinales,0.287879
renais.suca,0.212273
reprochee.verifiera,0.170117
repugner.enviais,0.737762
rigidites.refais,0.375702
rock.huileriez,0.333333
rodee.rebuta,0.376719
roquets.limite,0.241379
rotissez.pesee,0.0
roulant.vrilla,0.077922
ruminerez.affaissez,0.22286
sachent.gares,0.459962
salauds.hachure,0.207702
seconds.etagerais,0.171123
si.serrerait,0.150025
sommes.leveras,0.163245
sondez.diligence,0.187683
soudee.diminuees,0.080153
soudoyez.ruseriez,0.456907
soulevons.brode,0.291667
soupiez.assommes,0.074074
soutenais.risquerai,0.319444
sportif.oculiste,0.503431
subdivise.mutila,0.147266
sulfatees.frisa,0.245109
targuions.detaille,0.096386
telesiege.trepigner,0.305085
terrorise.dupes,0.400987
tisses.indolent,0.198864
tonifiais.tour,0.20404
totalise.torture,0.25
toupet.entendras,0.0
tourber.lancait,0.115385
tramerai.ligoteras,0.424809
travesti.mobilises,0.23262
tribunes.carrosse,0.286889
triplais.allonge,0.284091
truffer.risquent,0.21
trumeau.amendiez,0.243211
tuerions.endossiez,0.398627
usuraires.reverant,0.282468
vaches.recopiera,0.321133
vallons.brulait,0.297203
verrues.clamais,0.174064
voisinais.retraces,0.379001
volerais.reliquats,0.5
