SubjectID,ExceptionTestRunRatio
alimente.cadriez,0.0
apercevra.conter,0.0
atroce.adjugerez,0.0
avereront.vouees,0.0
avertis.cormoran,0.0
avouait.happes,0.0
becquee.aerait,0.0
borderais.calmait,0.0
cokefier.survolait,0.0
cougouars.balayes,0.0
crantes.mutes,0.333333
debacler.decores,0.0
decalques.avenu,0.0
decernera.promesse,0.0
deprime.grondions,0.0
deraser.mouilliez,0.0
dotait.huilerons,0.0
egalisiez.pendrons,0.0
estompes.renomme,1.0
forestier.redonnes,0.0
fouinez.superflu,0.0
gueules.bouderons,0.0
haschich.ecoeurait,0.111111
importons.boulaie,1.0
irriteras.taquinant,0.0
lamineurs.etatisees,0.0
matraque.ramier,0.0
neuviemes.doperiez,0.0
offrirait.rendors,0.0
penombres.intermede,1.0
pervenche.saturera,0.0
plastique.ratatines,0.0
postuler.petrifie,0.0
rayonnage.atterrait,0.0
reformais.glissais,0.0
sachent.gares,0.0
sommes.leveras,0.0
sondez.diligence,0.0
sulfatees.frisa,0.0
targuions.detaille,1.0
tisses.indolent,0.0
tonifiais.tour,0.0
tribunes.carrosse,1.0
triplais.allonge,1.0
vaches.recopiera,0.25
verrues.clamais,0.0
