SubjectID,FailedTestRunRatio
alimente.cadriez,0.0
apercevra.conter,0.866667
atroce.adjugerez,0.0
avereront.vouees,0.5
avertis.cormoran,0.0
avouait.happes,0.166667
becquee.aerait,0.533333
borderais.calmait,0.538462
cokefier.survolait,0.142857
cougouars.balayes,0.0
crantes.mutes,0.083333
debacler.decores,0.75
decalques.avenu,0.733333
decernera.promesse,0.4
deprime.grondions,0.5
deraser.mouilliez,0.606061
dotait.huilerons,0.0
egalisiez.pendrons,0.2
estompes.renomme,1.0
forestier.redonnes,0.25
fouinez.superflu,0.444444
gueules.bouderons,0.714286
haschich.ecoeurait,0.222222
importons.boulaie,1.0
irriteras.taquinant,0.333333
lamineurs.etatisees,0.6
matraque.ramier,0.0
neuviemes.doperiez,0.6
offrirait.rendors,0.785714
penombres.intermede,1.0
pervenche.saturera,1.0
plastique.ratatines,0.777778
postuler.petrifie,0.285714
rayonnage.atterrait,0.0
reformais.glissais,0.111111
sachent.gares,0.0
sommes.leveras,0.285714
sondez.diligence,0.4
sulfatees.frisa,0.666667
targuions.detaille,1.0
tisses.indolent,0.533333
tonifiais.tour,0.833333
tribunes.carrosse,1.0
triplais.allonge,1.0
vaches.recopiera,0.5
verrues.clamais,0.2
