SubjectID,SessionSpan
alimente.cadriez,0.3419
apercevra.conter,34.9206
atroce.adjugerez,1.0926
avereront.vouees,30.4312
avertis.cormoran,0.0
avouait.happes,23.3003
becquee.aerait,37.444
borderais.calmait,38.9599
cokefier.survolait,37.0708
cougouars.balayes,31.9696
crantes.mutes,36.5412
debacler.decores,10.3663
decalques.avenu,44.0261
decernera.promesse,29.3061
deprime.grondions,0.4923
deraser.mouilliez,44.1271
dotait.huilerons,19.3029
egalisiez.pendrons,21.005
estompes.renomme,10.1988
forestier.redonnes,29.4434
fouinez.superflu,39.7751
gueules.bouderons,31.8638
haschich.ecoeurait,34.1712
importons.boulaie,28.2991
irriteras.taquinant,37.6228
lamineurs.etatisees,33.0514
matraque.ramier,32.3068
neuviemes.doperiez,38.0827
offrirait.rendors,18.7944
penombres.intermede,0.0
pervenche.saturera,12.8901
plastique.ratatines,30.8909
postuler.petrifie,24.7532
rayonnage.atterrait,11.2842
reclus.ridee,32.2438
reformais.glissais,41.6237
roulant.vrilla,21.4905
sachent.gares,1.6471
sommes.leveras,40.5309
sondez.diligence,31.042
sulfatees.frisa,34.6287
targuions.detaille,0.0
tisses.indolent,34.344
tonifiais.tour,39.1666
tribunes.carrosse,0.0
triplais.allonge,13.7305
vaches.recopiera,15.987
verrues.clamais,25.5759
