Variable,PC1,PC2,PC3,Norme
EQ,-0.431646,0.174252,0.00148,0.4654935222105674
RED,-0.418496,0.216821,0.002425,0.4713344127920218
Comp_Count,0.082779,0.444647,-0.490926,0.6675115391706723
Sess_Count,0.18883,0.407677,0.418443,0.6139640457534953
Comp_FP_Ratio,0.434421,-0.155364,-0.034428,0.46264982969952556
Frac_Long,0.173484,0.11256,0.713375,0.7427451396549155
Mean_Test,0.412434,-0.158855,-0.082383,0.4495816656292826
First_Compile,-0.086295,-0.053273,0.098109,0.14110356280051897
Compile_Span,0.230461,0.504486,-0.102032,0.5639405338694852
Last_Compile,-0.179164,-0.474535,0.042953,0.5090463292569744
Time_To_Score1,-0.338312,0.118924,0.212442,0.41680874569039456
